0.00 14.48 speaker1  wow this is crazy y'all damn hot damn hot and crispy
757.02 1006.60 speaker2  clear when they give us instructions and things like that she walks up to you slowly puts her like he's somehow managed to like squeeze himself into a corner kind of space you don't know how like impenetrable personal space around him and he is he has a pager in one hand and he's looking down at it and he's talking on a big old-fashioned cell phone in the other hand kind of quietly he's wearing a nondescript CSU gray hoodie jeans and sneakers and a baseball cap and sunglasses indoors and you are having a difficult time hearing the person at the other end of your at it I'm sure I'll never slip up so Martin you're standing at six o'clock on this island and in front of you is a long cobblestone pathway leading to a large hexagonal building this is the main main Lodge for the calm comfy campground on either side of this cobblestone pathway or flower beds just filled with these beautiful flowers of all different shape and shade and on either side of you are just tons of bushes and trees and greenery it would be decently thick to have to walk through but you can kind of see through on either side these beautiful little cozy cottages that are lined out evenly across the island on the shore of this circular island standing there kind of looking around you notice that kind of behind you off to the side a little bit there's a man short stout man in his later years older guy he's got a thick white beard he's wearing a dark navy beanie and a wool plaid shirt under olive corduroy overalls and he is just staring out at the water Martin takes a deep breath and does it smell does it smell good it smells strange it's on you and this beautiful scenery it makes the smell seem nice is there at least also a smell
1000.32 1018.60 speaker3  not dissatisfied and he notes the guy behind him he also he doesn't take the time to stop and smell the flowers but he does make an interested note of them but he just walks straight on to the to
1014.36 1127.52 speaker2  the main cabin absolutely and when you get up there there is a sign in front of the building that says welcome to calm comfy campground and when you walk the main building that you're walking into is similarly bestroon with all these delightful flowers of many shades and shapes and when you walk in the inside is similarly rustic and elegant there's a massive wooden chandelier hanging over the foyer and you see that there is a couple standing right in front of you a young couple the woman in a sundress and the man in a white seersucker suit and they are holding each sign that says please boop for assistance also on top of the desk is a vase with a single red rose
1118.52 1184.72 speaker3  a gray college hoodie he has a baseball cap on pulled down low big sunglasses jeans and sneakers
1178.80 1265.76 speaker2  cowboy boots blue jeans a plaid pearl snap button-down bolo tie and a white cowboy hat and he's sitting on a recliner with his feet up watching a big-screen TV it's college football and CSU is playing on the wall behind the TV there's a bunch of like banners and logos and maybe a seat from the stadium like a signed football and a big jersey I look down at my and found me so ah yeah you get you get the prize and then you guys walk back out and he gets to the desk and he gets behind it and hops on into this big folder that he has I like before you can walk
1260.32 1308.12 speaker3  up even though you got there first and rang the bell he positions himself right in front of the
1302.68 1317.72 speaker2  he grabs a key off the back wall and he hands it to you and it's got one of those big like rubber
1312.92 1345.28 speaker3  paddles rubber things hanging off an old hotel key yeah and it's got a key on the other side
1339.08 1585.40 speaker2  cottage for you please make your way into the meeting room for orientation and he points to a door that is on his right so straightforward if you would have walked it he you know I nod you will be in cottage number nine so like I said if it's a clock you came from six you'll go to nine and if you want to leave your bags here I'll take them over to the cottage for you please make lean man in his early 60s with buddy Holly glasses and a charcoal suit so we must have matching are standing at if the island is a clock you're at six o'clock I'm gonna say this many many times yes yeah there's a cobblestone walkway leading up to a large hexagonal building that is the main building and you see a sign on it in the distance you can't quite make it out yet all around you are trees and lush bushes and on either side of the cobblestone walkway there are flower beds filled
1577.76 1682.72 speaker3  with flowers these gorgeous flowers of every shape and shade and Alan looks at you Walter
1678.12 1809.76 speaker2  large wooden chandelier right above you and to your right there's a desk are we talking lights a sign that says please boop for assistance and there's a vase with a red rose in it and to your left there is a table with a coffee pot and a water cooler and in between there's a bowl
1803.64 1865.32 speaker0  eye on everybody kind of observe the situation Charles Digby is like six feet tall little above average average weight brown kind of like a little shaggy a little unkempt hair but still kind of scruffy facial hair he likes to keep it average as a like a button-up shirt kind of little
1858.56 2059.36 speaker2  I'm also very very excited to have you on the show with an actual with an actual character at six o'clock on this island if the island was a clock face you were at six o'clock and leading in front of you is a cobblestone pathway up to a large hexagonal building that is both rustic and modern it's made mostly wood but there's big glass windows all over it and on either side of the cobblestone leading up to this building are these large flower beds filled with these gorgeous flowers that take over most of this island however on either side of the fire beds you see a bunch of so much flora no flauna you can see there's no desert there's no custardy desert there's not unfortunately maybe inside maybe inside so as you're walking up you see in the distance through these trees there's these cottages laid out at one o'clock three o'clock five o'clock seven o'clock nine o'clock and eleven o'clock on this island and through all this dense tree line and stuff you can still see these cottages they're tucked away and you notice with your keen investigative eyes so this is an automatic success because your alertness and your search I'm to your right as you're walking up to this large building you see down this long cobblestone pathway this cottage and on top of the roof of that cottage just far in the distance but with
2054.72 2073.92 speaker0  towards that way or would this be weird what I would I know not to you wouldn't know anything
2066.76 2143.84 speaker2  closer and closer you see this little girl take off running from behind cottage three and she's does not turn back and she continues to run toward the cottage and you see she goes around the back and brambles you make your way into a small clearing where this cottage is and it's really cute and there's a nice little front door and a window in front and windows on the sides and you see some movement through one of the side windows and you think it's basically the rough outline of
2138.64 2182.96 speaker0  do like some kind of like stealthy search maneuvers creep up to the window and be able to
2177.28 2234.72 speaker2  through this window you see that there is this young girl with pigtails and she is wearing overalls with a little striped shirt underneath overalls and she is sitting at the kitchen counter and eating a sandwich and then walking in from the other room is an average build man he looks to be in his late 30s but his eyes have aged and his hair his grade like someone who is in the war or went through some sort of traumatic experience he's wearing a white dress shirt gray slacks and black shoes and he walks over pours a glass of milk and slides it over to the girl who then
2228.00 2317.96 speaker0  like try to dip out at this point because it looks like that's probably her dad or something yeah I
2308.76 2521.32 speaker2  and then looking about 12 feet up the tree you see the small lens of a camera that's poking out there aren't any branches low enough and there's no like grips on this tree that are in the direct area to begin a climb so you can't even get off the ground I think I'll just leave it alone for large building you see that sign and there are two double doors on a porch a couple steps up to beautiful rustic and elegant lobby with a large wooden chandelier hanging above you to your right there is a young boy and to your left there is an old man and I'll bring Luke into the building cut out and we ran out of space on that hard drive perfectly timed because Luke and Justin you saw you see this kid on your right who is just incessantly ringing a bell that is on the
2515.56 2638.28 speaker0  boy hello nice to meet you and I'd like outreach the hand kind of awkwardly I don't know how to
2632.92 2701.20 speaker2  going back into some of your memories and not really paying attention then you snap out of it and you realize that oh shit I was I was gonna try to check in but at that moment the back door right behind the desk opens and a young man wearing cowboy boots blue jeans a plaid pearlsnap button down bolo tie and a white cowboy hat comes out of that door behind the desk and you can hear a guys must be the Grimes is that right yes okay absolutely so see Charles I've got number seven for you and he hands you a key with a big rubber keychain on it this is calm comfy campground and it's got a big number seven on it and then he looks at Walter and Alan and he's like and you
2692.88 2741.36 speaker4  two are in cottage number three I take it and I rub my finger over the number six right five
2736.20 2818.72 speaker2  would all please make your way into the meeting room right there for orientation and he points at large hexagonal building and inside we find a room that is circular the wall never ceasing and never creasing at any point even where the wall meets the ceiling and the floor the angles are rounded off there are six chairs and a half circle facing a single chair in front of them each chair has a bottle of water next to it and standing around this room or sitting in these build walks into the room he looks to be in his late 30s but his eyes have aged and his hair is grayed like someone who is in the war or has gone through some sort of traumatic experience he's about any war he might have fucked with the war there's a chance that he would have been in I saw you
