0.00 12.88 speaker0  Welcome one, welcome all, welcome y'all, wait a minute, did I say this all before?
1572.56 1678.56 speaker2  it's a exhale II exactly Maggie gave it to me I don't know what we're in here and you guys take off downtown to a two-story brownstone in the city when you arrive you find parking decently nearby and you find the number on the door is 218 but probably more important than that is that there
1673.20 1708.72 speaker0  you guys walk in the stench is the first thing you notice like a dead body would any of you have
1702.28 1873.08 speaker2  gone there's like pallets made all over the place but there's actual human fecal matter just like strewn about seems that people were like stepping in it and tracking it all around the place smells like piss spray-painted on one of the walls Heisenberg is eight one one eight one eight nine that everything that would have been in a place this nice is long gone drawers have been pulled out of cabinets and doors are open everywhere everything is just strewn about and everything the hallway you see there's a few rooms up here in a bathroom and there's just this heavy presence that you've never felt before and carved into the walls in this room that is maybe had been an office at one point in time is the same set of numbers that you saw spray-painted downstairs eight one one eight one eight nine five two zero one three one one eight one one one nine and it
1864.96 1973.08 speaker0  is carved over and over and over on everything in here using a simple substitution cipher with you know one equaling a and so on do I get any new words out of this do I take a break and give wouldn't so I actually I'd be down to spend a few minutes looking at it I don't know we might find it's very elementary once you get right into it so we can probably just breeze through that
1968.12 2022.76 speaker2  could be like the master bedroom or at least the bedroom one of the bedrooms upstairs that's large and has a bathroom attached the bed is gone the bed frame is gone and there are pallets all over is like some rotten food but then there's also like some takeout a lot of like fast food that's
2018.36 2055.80 speaker0  property crimes down here and we might have tracked him to a drug hideout up there in the whatever information you had on that if you could get it to me about who was living there how long it had been in that state as a drug squat whether or not the owner of the residence was participating
2052.12 2160.76 speaker2  I said it wasn't as important as the police tape over the door that doesn't mean it's not important we questioned some of the neighbors and they said that he was going absolutely crazy he was not acting like himself and he was uh had just people coming in at all time of the day and night and just inviting them all in and and then he just disappeared probably two days ago and they haven't amount of time but I you don't want to go in there it is absolutely disgusting they did a number on that place in such a short amount of time I mean it was truly horrific stuff did y'all have any know he's a high profile member of the community and we're just kind of putting it on the back and uh she hey now that's the lead his business partner is also dead oh god tragic so he seems to have been going through some stuff and if you know mental illness is a serious issue here in
2154.84 2244.12 speaker0  if you're not acting normal you know we either send you to a lot of church or we make you feel alienated until you just leave or kill yourself it's the it's the small town way jesus christ our next step we came real close to doing it to you when you first came to the department I tell you
2239.16 2275.64 speaker2  making a final pass through the home favorite uh you accidentally step in a pile of piss
2271.48 2377.08 speaker3  a thing we learned oh yeah we learned that Kathy was kind of running homeless people around at why don't we just call him call robin call robin you could be like do we have his phone number in robin no I haven't but uh you know we're both aware of each other you know I'd give him a call
2373.08 2407.64 speaker0  guys just standing on the street should we walk around the block before we get back in the car
2400.20 2472.92 speaker2  contention uh the filter sickly green on the coloration yeah sickly green tint with heavy grays the streets are covered in trash and spilled liquids and there's a scent in the air like someone left out cheese and a colostomy bag on every corner the faces of the buildings are slathered in billboards and the faces of the people bumbling about are bloated and lifeless in a strange opposition to all this depressive scenery there are beautiful flowers in every shade and shape growing in every otherwise empty alleyway and out of many cracks in the sidewalks
2467.24 2487.00 speaker0  whole massive corporation like that yeah it's crazy right why I don't know something about the
2480.84 2546.04 speaker2  to renovate everything apparently he's gonna make everyone have livable wage and benefits that are realistically priced for all workers uh I guess we're getting better hours and yeah he's renovating all the facilities to be up to code so we're all getting paid during the time off time and a half
2540.12 2694.60 speaker3  uh rosemary if those flowers were always there can you remind me if you said yes or no whether they barcorp do they manufacture something other than these subsidiaries do they do something so I didn't pretty successful I'll see they sell I assume they sell stuff I want to ask this guy that we hoping to get in touch with Robin I had a couple questions because I think it was under odd circumstances that his mother and my brother both recently passed away I was hoping to speak with
2688.48 2716.84 speaker2  understand that you're going through a real trying time right now but Bruce is unavailable is he in
2711.20 2838.28 speaker3  oh oh write down some questions and call back I was just hoping to have more of a conversation is maybe doing some good for this city as well that's what they told the workers that's true
2833.76 2854.20 speaker0  was a man who bought cocaine in a van full of children how do we think that Robin is any better
2848.76 2875.16 speaker3  in the first place and is his heart that full of gold and someone that we trust wants us to kill
2870.04 2895.68 speaker0  know if I do trust this new well it was pretty cool I'll she faked her own death that was right
2892.56 2895.68 speaker2  maybe find out what other stuff the circle in the lodge has been up to the only one trying to
